Ano;"Bloco Econômico";"Código CUCI Subgrupo";"Descrição CUCI Subgrupo";"Quilograma Líquido"
2018;"União Europeia - UE";2485;"Madeira de espécies não coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de suas bordas, pontas ou faces, mesmo aplainada, polida ou unida pelas extremidades.";72423337
2018;"União Europeia - UE";0112;"Carne bovina congelada";43718862
2018;"União Europeia - UE";6345;"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou outras substâncias orgânicas";33472869
2018;"União Europeia - UE";2482;"Madeira de coníferas, serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";30477931
2018;"União Europeia - UE";6359;"Outros artigos manufaturados de madeira";24141483
2018;"União Europeia - UE";8215;"Outros móveis, de madeira";22400772
2018;"União Europeia - UE";0111;"Carne bovina fresca ou refrigerada";21801700
2018;"União Europeia - UE";4222;"Óleo de palma e suas frações";12672936
2018;"União Europeia - UE";6349;"Madeira, em forma simples";10293944
2018;"União Europeia - UE";0713;"Extratos, essências e concentrados de café e preparações à base destes produtos ou à base de café, sucedâneos do café e respectivos extractos, essências e concentrados";7191433
2018;"União Europeia - UE";2322;"Borracha reconstituída, desperdícios e resíduos de borracha não endurecida";3698720
2018;"União Europeia - UE";6342;"Madeira densificada e painéis de partículas, painéis de partículas orientadas (OSB) e painéis semelhantes, de madeira ou de outras matérias lenhosas";3013195
2018;"União Europeia - UE";6341;"Folhas para folheados,folhas para contraplacados ou para madeiras estratificadas semelhantes e outras madeiras,serradas longitudinalmente, cortada ou desenrolada,mesmo aplainada,polida ou unidas longitudinalmente ou pelas extremidades, espessura <= 6 mm";1919272
2018;"União Europeia - UE";2483;"Madeira de coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas ou faces, mesmo ou não aplainada, polida ou unida pelas extremidades.";1755129
2018;"União Europeia - UE";6211;"Borracha misturada, não vulcanizada, em formas primárias ou em chapas, folhas ou tiras";834501
2018;"União Europeia - UE";6299;"Disco de borracha, obras de borracha endurecida ou de borracha vulcanizada não endurecida";817952
2018;"União Europeia - UE";4211;"Óleo de soja e respectivas frações";719254
2018;"União Europeia - UE";2450;"Lenha (excluindo resíduos de madeira) e carvão vegetal";708361
2018;"União Europeia - UE";2479;"Outras madeiras em bruto ou simplesmente esquadriada";594602
2018;"União Europeia - UE";6213;"Fios e cabos de borracha vulcanizada , chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida";315793
2018;"União Europeia - UE";2475;"Madeira de espécies não coníferas, em bruto (mesmo descascada ou alburno) ou simplesmente esquadriada, mas não tratada com tinta, manchas ou outros agentes de conservação das madeiras tropicais";85940
2018;"União Europeia - UE";6292;"Correias transportadoras ou de transmissão, de borracha vulcanizada";71177
2018;"União Europeia - UE";6214;"Tubos, canos e mangueiras, de borracha vulcanizada não endurecida, com ou sem seus acessórios (por exemplo, juntas, cotovelos, bridas).";70107
2018;"União Europeia - UE";0712;"Café torrado";63399
2018;"União Europeia - UE";6354;"Manufaturas de madeira para uso doméstico ou decorativo (exceto móveis)";56740
2018;"União Europeia - UE";6212;"Outras formas (ex. varetas, tubos, perfis) e artigos (por exemplo, discos, arruelas), de borracha não vulcanizada";20546
2018;"União Europeia - UE";2112;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos (frescos, ou salgados, secos, em conserva ou conservados de outro modo, mas não curtidos, apergaminhados ou preparadas de outro modo), ou não depilados ou divididos";3960
2018;"União Europeia - UE";2474;"Madeira de coníferas, em bruto (mesmo descascada ou alburno) ou simplesmente esquadriada, mas não tratada com tinta, corantes ou outros conservantes.";2643
2018;"União Europeia - UE";0175;"Carne e miudezas (exceto fígado) de bovinos, preparado ou preservado";2011
2018;"União Europeia - UE";2312;"Borracha natural (exceto látex)";178
2018;"União Europeia - UE";2311;"Látex de borracha natural, mesmo pré-vulcanizado";95
2017;"União Europeia - UE";2222;Soja;4547239449
2017;"União Europeia - UE";0711;"Café não torrado, mesmo descafeinado";839182414
2017;"União Europeia - UE";6343;"Madeira compensada, madeira folheada e madeiras estratificadas semelhantes";345826218
2017;"União Europeia - UE";6114;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos, curtidos ou em crosta ou não preparados após curtimento ou após secagem, depilados, mesmo divididos";138079219
2017;"União Europeia - UE";2461;"Madeira em estilhas ou em partículas";133972450
2017;"União Europeia - UE";2484;"Madeira de espécies não coníferas especificada na posição 2475 serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";95350131
2017;"União Europeia - UE";2485;"Madeira de espécies não coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de suas bordas, pontas ou faces, mesmo aplainada, polida ou unida pelas extremidades.";65948652
2017;"União Europeia - UE";2462;"Serragem e resíduos de madeira e sucata, mesmo aglomerados em bolas, briquetes, pellets ou em formas semelhantes";56059374
2017;"União Europeia - UE";0112;"Carne bovina congelada";37177408
2017;"União Europeia - UE";4222;"Óleo de palma e suas frações";24041921
2017;"União Europeia - UE";0111;"Carne bovina fresca ou refrigerada";22521828
2017;"União Europeia - UE";8215;"Outros móveis, de madeira";21724562
2017;"União Europeia - UE";6359;"Outros artigos manufaturados de madeira";20977240
2017;"União Europeia - UE";6345;"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou outras substâncias orgânicas";15472520
2017;"União Europeia - UE";2482;"Madeira de coníferas, serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";14138193
2017;"União Europeia - UE";0713;"Extratos, essências e concentrados de café e preparações à base destes produtos ou à base de café, sucedâneos do café e respectivos extractos, essências e concentrados";8089148
2017;"União Europeia - UE";6349;"Madeira, em forma simples";7540989
2017;"União Europeia - UE";2322;"Borracha reconstituída, desperdícios e resíduos de borracha não endurecida";4680450
2017;"União Europeia - UE";6341;"Folhas para folheados,folhas para contraplacados ou para madeiras estratificadas semelhantes e outras madeiras,serradas longitudinalmente, cortada ou desenrolada,mesmo aplainada,polida ou unidas longitudinalmente ou pelas extremidades, espessura <= 6 mm";2932381
2017;"União Europeia - UE";6342;"Madeira densificada e painéis de partículas, painéis de partículas orientadas (OSB) e painéis semelhantes, de madeira ou de outras matérias lenhosas";2410792
2017;"União Europeia - UE";2483;"Madeira de coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas ou faces, mesmo ou não aplainada, polida ou unida pelas extremidades.";1431736
2017;"União Europeia - UE";6299;"Disco de borracha, obras de borracha endurecida ou de borracha vulcanizada não endurecida";768683
2017;"União Europeia - UE";4211;"Óleo de soja e respectivas frações";462688
2017;"União Europeia - UE";6213;"Fios e cabos de borracha vulcanizada , chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida";377591
2017;"União Europeia - UE";6211;"Borracha misturada, não vulcanizada, em formas primárias ou em chapas, folhas ou tiras";322358
2017;"União Europeia - UE";2450;"Lenha (excluindo resíduos de madeira) e carvão vegetal";241306
2017;"União Europeia - UE";2479;"Outras madeiras em bruto ou simplesmente esquadriada";194981
2017;"União Europeia - UE";0712;"Café torrado";129881
2017;"União Europeia - UE";6292;"Correias transportadoras ou de transmissão, de borracha vulcanizada";101616
2017;"União Europeia - UE";6214;"Tubos, canos e mangueiras, de borracha vulcanizada não endurecida, com ou sem seus acessórios (por exemplo, juntas, cotovelos, bridas).";84625
2017;"União Europeia - UE";2112;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos (frescos, ou salgados, secos, em conserva ou conservados de outro modo, mas não curtidos, apergaminhados ou preparadas de outro modo), ou não depilados ou divididos";75629
2017;"União Europeia - UE";2475;"Madeira de espécies não coníferas, em bruto (mesmo descascada ou alburno) ou simplesmente esquadriada, mas não tratada com tinta, manchas ou outros agentes de conservação das madeiras tropicais";35839
2017;"União Europeia - UE";2312;"Borracha natural (exceto látex)";27810
2017;"União Europeia - UE";6212;"Outras formas (ex. varetas, tubos, perfis) e artigos (por exemplo, discos, arruelas), de borracha não vulcanizada";25059
2017;"União Europeia - UE";6354;"Manufaturas de madeira para uso doméstico ou decorativo (exceto móveis)";13726
2017;"União Europeia - UE";2311;"Látex de borracha natural, mesmo pré-vulcanizado";20
2016;"União Europeia - UE";2222;Soja;4886427014
2016;"União Europeia - UE";0711;"Café não torrado, mesmo descafeinado";949289319
2016;"União Europeia - UE";6343;"Madeira compensada, madeira folheada e madeiras estratificadas semelhantes";312419850
2016;"União Europeia - UE";2461;"Madeira em estilhas ou em partículas";219636070
2016;"União Europeia - UE";6114;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos, curtidos ou em crosta ou não preparados após curtimento ou após secagem, depilados, mesmo divididos";122038270
2016;"União Europeia - UE";2484;"Madeira de espécies não coníferas especificada na posição 2475 serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";97195566
2016;"União Europeia - UE";2485;"Madeira de espécies não coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de suas bordas, pontas ou faces, mesmo aplainada, polida ou unida pelas extremidades.";64702876
2016;"União Europeia - UE";4222;"Óleo de palma e suas frações";39245248
2016;"União Europeia - UE";2462;"Serragem e resíduos de madeira e sucata, mesmo aglomerados em bolas, briquetes, pellets ou em formas semelhantes";35567779
2016;"União Europeia - UE";0112;"Carne bovina congelada";35265583
2016;"União Europeia - UE";0111;"Carne bovina fresca ou refrigerada";25643749
2016;"União Europeia - UE";6359;"Outros artigos manufaturados de madeira";24983697
2016;"União Europeia - UE";8215;"Outros móveis, de madeira";21491745
2016;"União Europeia - UE";2482;"Madeira de coníferas, serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";16394742
2016;"União Europeia - UE";6345;"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou outras substâncias orgânicas";16166147
2016;"União Europeia - UE";0713;"Extratos, essências e concentrados de café e preparações à base destes produtos ou à base de café, sucedâneos do café e respectivos extractos, essências e concentrados";11069586
2016;"União Europeia - UE";6349;"Madeira, em forma simples";7460870
2016;"União Europeia - UE";2322;"Borracha reconstituída, desperdícios e resíduos de borracha não endurecida";6236000
2016;"União Europeia - UE";2450;"Lenha (excluindo resíduos de madeira) e carvão vegetal";2760154
2016;"União Europeia - UE";6341;"Folhas para folheados,folhas para contraplacados ou para madeiras estratificadas semelhantes e outras madeiras,serradas longitudinalmente, cortada ou desenrolada,mesmo aplainada,polida ou unidas longitudinalmente ou pelas extremidades, espessura <= 6 mm";2590317
