Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Presidente Figueiredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142000,361724,549758,1302125,0,0,0,0,0,0,Wood
Presidente Médici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303372,Wood
Presidente Prudente,0,0,0,0,60,70,190,149,289,0,0,0,0,0,26,2106,5221,607697,206202,356155,2470,520,52,51,33,Wood
Presidente Tancredo Neves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,0,0,0,0,0,Wood
Primavera do Leste,0,0,0,0,1971052,2287317,387240,2444813,3056212,2063018,1497178,515109,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Querência,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747267,4048121,1578785,0,0,0,0,0,0,0,Wood
Rancharia,0,0,0,0,0,0,1006114,2391012,597968,969401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Raposa,190,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Raul Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4290,Wood
Redenção,45440531,14014120,43593709,13307315,0,0,568404,0,0,0,0,0,0,0,0,103841,1567769,4237642,5474746,6026657,8713267,10415780,10305183,5981780,1015487,Wood
Ribas do Rio Pardo,10210780,3420395,1640778,356924,1747861,2447448,4492705,4783896,4986879,9814115,5854235,329650,825456,1312214,7891865,10039174,13279952,24128760,16457269,8711751,2443884,2850649,2446748,0,0,Wood
Ribeirão Branco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816880,0,0,0,0,0,0,0,0,0,0,Wood
Ribeirão Pires,498,3678,244,4393,229,0,0,0,0,328,932,4546,0,0,0,106,50,100,548,73,0,1108,0,2564,0,Wood
Ribeirão Preto,264,3,0,805357,2015889,645151,0,1628,2883,52,40795,30,3150,18555,23071,98002,78681,3490,0,1781,255,2316,1015,23639,0,Wood
Ribeirão das Neves,0,0,0,0,0,0,0,0,0,0,0,0,355,616,929,444,11,0,623,0,0,0,0,0,0,Wood
Rio Branco,11747380,6901894,6177425,4399647,1028182,2151717,1291013,803633,2416106,3357036,8119758,11573442,9696833,12919343,12193840,3765520,1431184,727925,396540,465857,452260,163080,0,27000,0,Wood
Rio Claro,308607,231735,2881,3645,70493,444,1092,3228634,4876441,0,0,304,1000218,213,600047,135,337,348,90,0,0,0,0,0,19788,Wood
Rio Crespo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20464,4786146,3193213,2307692,1514988,223726,0,0,Wood
Rio Preto da Eva,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Rio Verde,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Rolim de Moura,2863507,2080695,1828705,2277389,1621000,1504120,1134314,1297283,971300,819500,641144,1495228,2481430,4403452,6506019,4625684,4751943,6947891,6582058,5083759,1712727,1046296,707948,544969,653949,Wood
Rondolândia,0,0,0,0,0,0,0,0,0,0,0,147990,161070,218400,508651,471770,966500,1322482,3671943,4492094,5268682,565622,0,0,0,Wood
Rondon do Pará,720481,400600,1543885,2903950,2529844,787570,0,21050,212790,444890,997782,501307,123070,1551159,9899180,10609756,10372689,8299732,4576856,2977715,2047226,2190443,829566,1007880,5811595,Wood
Rondonópolis,1808966,134573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Rorainópolis,75750,0,241550,875995,709541,632500,30000,60000,687765,266193,139768,115000,1561788,3824917,3980601,3170644,5707997,552000,164000,2103364,1209226,548632,0,0,0,Wood
Roseira,0,0,0,0,0,0,0,0,0,0,0,0,0,2957,0,44329,234431,735837,701523,512424,409099,109455,10946,0,0,Wood
Rosário Oeste,51326316,47367069,59134417,36325635,15083038,40419138,29801667,9662225,15420673,14024848,25675294,16066984,914956,9620570,13679409,1809393,0,0,0,0,0,0,0,0,0,Wood
Rurópolis,176304,324817,258481,62727,0,282836,380956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Ruy Barbosa,583,757,361,0,0,0,0,0,0,0,0,0,0,0,21360,0,0,0,0,0,0,0,0,0,0,Wood
Sacramento,0,0,0,0,0,0,0,0,0,0,0,50970,0,1288203,7799143,5649219,2892814,0,97416,622931,1274937,177146,725189,0,0,Wood
Sales Oliveira,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Salinas,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,360449,514540,993557,0,0,0,0,0,0,0,Wood
Salto,102104059,87937604,65252841,98647608,94083127,102870033,88839900,65570833,64945230,48962505,42587421,29493818,44944455,40455974,21852303,0,132,0,520,143061,130,0,0,3112942,5329042,Wood
Salto de Pirapora,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Salto do Céu,0,0,0,0,0,0,47760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Salvador,50909,853,58648,143490,121740,24467,31329,1409,7808,3750,14675,36558,58538,398446,633897,114616,385325,26512083,899808,314632408,321193369,1659610,1459638,692936,26400,Wood
Santa Bárbara d'Oeste,181,903,0,0,0,0,0,0,0,9,1,20,0,304,0,281,3713,0,0,20000,0,0,0,30,0,Wood
Santa Bárbara de Goiás,0,79574,50171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santa Bárbara do Pará,14126817,20526608,16408614,19243061,14189541,13645395,9089030,7238071,2396968,3322924,3288212,2534226,6947302,12385590,28165863,28574581,12248408,9460928,3103345,1330737,546444,0,0,0,0,Wood
Santa Carmem,0,25,23,59128,82100,413143,247500,204962,0,91600,0,69000,445868,82325,1031199,1984783,1082684,1756755,685158,0,0,0,0,0,0,Wood
Santa Cruz Cabrália,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5173,0,0,0,0,0,0,Wood
Santa Cruz da Conceição,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santa Cruz de Minas,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santa Cruz do Rio Pardo,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25460,0,0,0,0,0,0,0,Wood
Santa Gertrudes,18,0,0,0,0,0,0,0,0,0,0,0,0,5370,0,0,0,0,1000,0,0,1200,0,0,0,Wood
Santa Isabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Wood
Santa Isabel do Pará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,Wood
Santa Luzia,0,63,296,247,136,1333,410,503,1225,12986,376,5252,2936,19146,12826,10896,6849,1911,1668,1121,747,2341,3408,2866,751,Wood
Santa Luzia do Paruá,0,0,0,24500,49000,74500,98398,75433,98888,204438,54268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santa Luzia do Pará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103493,Wood
Santa Maria das Barreiras,0,0,0,3710500,9196627,1258340,2682048,892587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santa Maria do Pará,0,252000,0,0,163200,0,0,0,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,0,Wood
Santa Rita do Passa Quatro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,Wood
Santa Rita do Sapucaí,0,0,308,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santaluz,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santana,589249969,598871600,493110356,650467020,560912190,502253377,528666860,562173963,402876100,170614870,232016380,410303450,248083548,430960330,431421135,639080440,678701770,765729240,395875030,214821165,280742457,323217769,398449530,518610690,406771990,Wood
Santana de Parnaíba,26,22,25605,25500,690,15,11,26,183,22,4910,0,417,0,2761,366150,45262,689,11128,18082,19532,9517,895,0,0,Wood
Santana do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172792,0,0,0,0,85100,Wood
Santarém,9709043,13072101,12605939,13180040,16101486,14373870,18594043,25568476,22525458,28235647,39172833,39949485,35351740,61732341,109940406,96836047,106504628,99256028,78948183,60672719,61102086,68055099,62769176,53732755,80351977,Wood
Santo André,132244,25472,33,24,20541,0,357,0,170,12050,826357,1662307,450,20,2521,1146,7314,0,58113,3159,94152,42903,44000,27169,12210,Wood
Santo Antônio de Posse,0,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santo Antônio do Tauá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4510,0,0,0,0,0,0,0,0,0,0,Wood
Santo Antônio dos Lopes,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Santos,15569486,13885085,8274977,7706344,8382848,2619324,116897,51513,119566,56764,49788,222983,319426,281224,285498,732460,365781,213813,134504,20009,51,180035,232421,21000,0,Wood
Sena Madureira,0,158805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Senador Guiomard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202530,46690,97000,224596,587816,0,0,Wood
Senador José Porfírio,0,0,179070,146126,307217,166174,162824,480599,566966,0,0,663818,2861010,2763304,7738457,6512680,5441756,7782036,12881042,11670206,10314525,7256589,3150400,0,0,Wood
Seringueiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114800,109510,70500,127550,35700,7700,69000,0,Wood
Serra Azul,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Serra Negra,0,0,0,0,0,0,0,0,0,0,327,0,3239,0,7792,2425,2373,1355,3192,0,0,0,0,0,0,Wood
Serra do Navio,0,0,159370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Serrinha,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Sertãozinho,0,26,2,16,1,26143,97000,0,0,0,0,0,0,0,0,38899,185684,0,0,1,0,0,0,0,0,Wood
Sete Lagoas,2,24288,81000,0,810,124529,232774,189496,0,0,173114,128378,536486,429211,1294043,2368700,276000,4655498,53277,271000,9420,215,0,0,0,Wood
Silveiras,0,0,32,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Silvânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27150,0,0,0,0,0,Wood
Simonésia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230278,109440,0,0,0,0,Wood
Simões Filho,21,0,965,2409,4257,140,619,21388,0,0,70,0,0,0,0,0,371,4390,0,0,0,0,0,0,0,Wood
Sinop,4091139,1676229,2272350,3928647,3786480,2991760,2085323,1667326,2081794,3387488,3503939,9133415,6595768,17265522,51752737,55879630,58765671,73852547,65675694,56675066,51073676,48007126,33695964,12732975,23757788,Wood
Socorro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,Wood
Sorocaba,10131305,3781268,5203885,2307608,816770,259602,321363,374606,339185,269191,391997,171304,22535,23819,2017,701,10487,12831,22533,6288,187821,129982,8910,0,71954,Wood
Sorriso,674,0,0,0,0,0,0,0,0,0,89045,955943,2162336,4293958,6917223,7389712,5406935,6502760,8741041,7053386,6143594,4763822,3202956,2083365,2229904,Wood
Sumaré,154,21,203,125,0,24,0,0,0,1133,0,9373,9373,9373,83336,0,0,0,30,89,0,0,0,23,0,Wood
Suzano,1318,98432,6260,27136,1,2,9,20,10,2,0,0,2888,487,3097,44541,2549,0,0,0,0,0,0,0,0,Wood
São Bernardo do Campo,6846184,11325862,15576939,20413093,11929615,9829829,12847854,21475378,31635161,17621944,19034291,16305472,8084581,13453029,2388136,499761,1905285,6218190,3483563,3113922,4007928,4057086,4988174,6506470,2590769,Wood
São Caetano de Odivelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47000,54382,413762,320007,884068,1757386,1974896,2482407,2620457,2512118,Wood
São Caetano do Sul,5551187,3811690,1475629,0,0,0,2,33111,28706,945,57470,1203319,1869392,4375863,1203615,0,148618,0,365,118,201865,10000,1,3,13,Wood
São Carlos,1877,2191,33070,46943,52043,69046,51612,120401,172000,211461,176779,162572,89761,0,1433,0,586,0,19466,1020613,134404,13658,14706,58871,60737,Wood
São Domingos,0,0,0,0,0,0,0,0,0,0,0,0,0,7872,11204,0,0,0,0,0,0,0,0,0,0,Wood
São Francisco do Guaporé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54744,198890,75700,0,27000,0,0,0,0,0,Wood
São Félix,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São Félix do Xingu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504433,345848,0,0,0,202750,317304,0,0,Wood
São Gonçalo dos Campos,0,0,0,0,1018,0,0,1135,1191,0,0,0,0,0,0,0,0,0,0,108,0,0,135,70,0,Wood
São Joaquim de Bicas,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São José da Barra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,371,124,0,0,0,0,0,0,0,0,Wood
São José da Lapa,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São José de Ribamar,783,147,344,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0,0,0,0,Wood
São José do Rio Claro,4845211,6053413,4322056,5905334,8077568,7533456,5994035,2899768,1052460,1185288,591505,1599303,1753624,2550445,3377494,3453883,2786449,1599435,3273337,1852788,2171793,1597771,26000,34475,0,Wood
São José do Rio Preto,102,58,33704,1,291,150995,0,0,0,0,14220,17304,5015,2545,35,1800,5526,53169,24434,149090,0,0,108192,0,0,Wood
São José dos Campos,8195,4484,10136,13837,58,64740,553492,92374,975263,1450100,1716508,5572,46823,26894,703447,591051,954087,479941,693881,542444,616648,603553,626407,659007,625042,Wood
São José dos Quatro Marcos,2245972,1906472,248972,0,1843696,2859645,738966,252484,0,0,0,223236,65141,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São João da Baliza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,335490,561139,0,0,0,0,0,0,0,0,Wood
São João da Boa Vista,227,217,0,0,0,0,0,0,18912,64175,24942,0,6,150,0,99,2,6,3,4000,0,0,0,0,0,Wood
São João del Rei,438522,347193,451029,108301,40946,44913,0,0,31,0,0,0,2,5,0,4,0,0,0,0,163,0,0,0,2527,Wood
São João do Paraíso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287980,1455470,519340,0,0,0,0,0,0,0,0,Wood
São Lourenço da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,196958,92107,14797,38956,80492,0,0,Wood
São Luiz,0,0,0,0,283683,0,0,0,79900,205461,104100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São Luís,1607,42374,3044,609,0,0,0,0,0,0,0,0,69152,246090,372252,947772,1187082,1054263,2115654,1656178,368084,420665,585330,442301,532155,Wood
São Manuel,0,0,0,0,0,0,0,0,0,0,0,0,0,946924,2167591,1542449,1454663,2546106,1591936,396144,574275,673866,499385,0,20000,Wood
São Miguel do Guamá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951506,4381546,5871304,2751497,815127,942432,1346396,2968803,Wood
São Miguel do Guaporé,254380,502980,1239100,3383796,4822815,4529030,1058227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São Miguel do Tocantins,991460,515900,1013300,1856173,2254645,580855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São Paulo,353640056,178558875,55759104,31855598,15820352,14167746,12798371,6178456,3981729,3011782,2132966,34570623,88296133,141922123,221636920,259713131,309484020,306060544,265456442,258367031,286347466,331501940,326418109,234793347,237190774,Wood
São Roque,0,59,0,0,0,0,50,0,0,0,0,0,0,0,0,0,34,800,0,0,0,0,0,0,0,Wood
São Sebastião,702,997,595,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São Sebastião do Passé,0,2632220,13262970,3647604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
São Vicente,0,0,0,0,5,0,0,0,0,19180,0,0,0,202220,73390,200570,1091001,1472953,1444744,1214437,1456704,1323391,1041429,513751,633301,Wood
Tabaporã,0,0,0,0,0,0,0,0,0,0,0,0,258905,109425,665920,789784,876470,564799,0,0,0,0,0,0,0,Wood
Tabatinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,168,2,0,0,0,0,0,0,0,0,Wood
Taboão da Serra,6810,180,4,10,0,33,8164,0,0,0,0,0,46216,707483,4888985,2604805,1981317,3043345,3586108,2849742,1912024,2032385,1607647,1256357,2582885,Wood
Tailândia,0,211577,608763,186010,522904,984136,3431271,4169066,3522310,4660084,5744763,5182989,2828993,4450126,5879721,5720262,7411686,17997452,17305967,5228503,5417704,10629962,7969988,5620607,2131305,Wood
Taiobeiras,750,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Tambaú,0,0,0,12005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Tangará da Serra,3716689,4679476,4221089,1092742,2292993,2192397,1512564,4672572,1580714,783246,446397,2471150,1900040,1849597,468696,0,82222,226849,295716,72879,0,0,0,0,0,Wood
Taquarivaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67011,0,0,0,0,Wood
Tarauacá,21797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134900,0,0,0,0,0,0,0,Wood
Tartarugalzinho,0,0,0,0,88372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Tatuí,0,0,0,0,29,0,63,45,0,0,0,880,0,0,0,0,230,0,4890,0,3057,212,0,0,1441,Wood
Taubaté,1011,0,0,12286,88,24,0,0,0,33,143,17355,461,0,109515,126435,389840,156473,242916,269892,202583,321564,236392,198194,238141,Wood
Teixeira de Freitas,4,0,0,0,0,0,0,0,0,0,0,0,0,0,190,195,0,0,29700,672739,206786,0,0,0,0,Wood
Terenos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262366,0,Wood
Teresina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,Wood
Terra Nova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8081,1000,9467,0,0,0,0,0,Wood
Terra Nova do Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358450,0,0,0,0,0,0,0,Wood
Teófilo Otoni,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,221,0,25,0,0,0,0,0,0,Wood
Tietê,5482300,4768718,5575751,5740796,6344356,7086469,6070833,4519344,5385535,5470743,6507236,8561267,9948539,18004736,20894886,23313555,17700358,13680492,10487991,7302835,6228923,6065637,4534430,3588847,3291966,Wood
Tiradentes,0,0,0,0,0,0,0,38,0,0,0,0,0,4306,47768,0,1364,620,0,94,0,150,840,2500,0,Wood
Tomé-Açu,0,0,0,0,0,0,0,0,0,400841,552712,462356,0,595221,487793,266927,3145650,11290998,7161547,11802635,5839825,1878344,2161332,0,0,Wood
Trabiju,0,290465,64336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Trairão,136976,0,0,0,0,0,0,0,232500,451200,455130,547169,282094,2229859,2959686,2142634,102831,0,0,0,156085,1997852,1610739,47878,0,Wood
Tremembé,39281,19885,1866,0,0,200,93,110,160,152,238,72,1865,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Três Corações,0,0,0,0,459,0,0,0,0,0,0,71284,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Três Lagoas,0,0,100,0,0,0,0,400,0,48980,22790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Três Marias,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Tucumã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2870,481168,2231323,327554,0,0,0,0,0,0,Wood
Tucuruí,0,0,0,0,0,0,0,0,0,0,0,0,34776,179630,1335878,752341,1971537,3230083,1106485,87812,302367,0,0,206176,6275695,Wood
Tupã,103,38,0,0,0,16,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Ubatuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,Wood
Uberaba,84160050,78415455,70297896,11471535,18747460,7860880,1717169,801847,1497250,3091352,15859145,6691108,10210761,2640635,3559569,12383371,10279,3508130,27020,219554,48100,0,51200,0,0,Wood
Uberlândia,538,9785,0,11,44848,381135,237133,428400,21000,54,46490,86,0,0,1501026,229655,1808611,989832,83,0,0,0,17613,160560,0,Wood
Ubá,0,43,0,0,36,17,0,86,5766,5053,6573,0,0,0,282,0,0,0,0,0,0,0,0,0,0,Wood
Ulianópolis,3274614,0,234099,4273637,3109288,635151,0,0,0,0,0,27538,0,0,0,0,0,0,57673,234503,4577500,2782923,1498673,285489,1296496,Wood
União do Sul,0,0,0,0,293089,201516,0,0,0,0,0,0,0,0,0,34000,1026000,528000,330000,457000,485200,1069090,433902,73688,0,Wood
Uruará,224757,319015,451969,222190,388604,487532,668003,682276,1046085,605846,4359536,9014505,9631604,10231712,17292322,15417656,14122507,14085851,16749659,15204393,16678455,14037114,6789964,641036,1715631,Wood
Uruaçu,340,490,556,826,523,699,731,971,495,1660,1881,1812,639,1381,4675,8394,14738,964,0,0,0,0,0,0,0,Wood
Urucará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,30,0,0,Wood
Uruçuca,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Vale do Anari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157585,780738,423240,172577,816910,0,0,0,Wood
Valentim Gentil,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Valinhos,2946,700,5980,53246,105693,839,0,0,0,0,8,110,0,0,519010,854899,935253,1052515,819555,1209142,2048277,1838082,299473,280,1133,Wood
Valparaíso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,Wood
Vargem,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Vargem Grande Paulista,75003,398496,5545942,3329105,3253,2388754,9108,4868,11055,7125,2853,2885,38,0,0,0,42,0,8750,0,732,18,140,0,71,Wood
Varginha,8,0,33,69,0,0,0,0,3683,4341,0,0,0,0,853,78,0,0,0,0,0,0,0,0,0,Wood
Vazante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,28000,27000,0,0,0,0,Wood
Vera,0,0,0,0,0,0,0,0,0,0,0,0,0,44147,258331,25000,910014,886767,322188,853985,603206,93400,299014,19932,211241,Wood
Vera Cruz,0,0,0,0,0,0,0,0,0,0,2448,14203,0,0,0,0,14231,0,0,0,0,0,0,0,0,Wood
Vespasiano,22175,14772,0,0,0,0,0,530,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,Wood
Vila Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12294,234232,0,Wood
Vilhena,5679771,6109726,7027591,5813316,5130455,6649266,5299517,3486540,3357499,2970110,3951904,6243417,5727860,8553304,25147139,29520686,31185075,45588607,33876131,23555518,21747534,19600024,12033276,5686880,6268107,Wood
Vinhedo,1103,220,180,463,21338,170660,561192,545181,382275,0,384,0,0,1812,0,6367,5992,7032,698,0,1600,0,431,0,0,Wood
Votorantim,0,0,0,0,68,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Votuporanga,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,64,156775,212703,412850,69370,158240,136776,26,13980,Wood
Várzea Grande,5652119,4727220,8593017,6932434,5689175,7510759,5890979,4404752,4544986,3006767,2651662,751260,0,573741,2051573,5473536,8040112,10851758,4445533,2294476,3243523,2741161,2261542,1680564,1970554,Wood
Várzea Paulista,0,0,94,3560,3029,4291,3999,11364,8100,1165,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,Wood
Várzea da Palma,6333220,7912143,7996150,517400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72352,498825,0,0,0,0,Wood
Wenceslau Braz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,38000,0,0,0,Wood
Xapuri,3484524,3650355,2688855,1283443,317409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Zé Doca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22388,23851,200105,272738,193660,384794,99805,0,0,0,0,Wood
Água Azul do Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,439421,331964,19774,86990,19005,187024,19700,243605,175981,0,0,0,Wood
Água Boa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,Wood
Água Clara,756772,363600,0,0,0,0,0,0,0,0,0,0,0,527933,3623954,155115,0,1735055,2737154,3241665,1000965,2552313,8965202,2269084,0,Wood
Águas Vermelhas,0,0,0,0,0,253580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Águas da Prata,0,0,0,50340,100679,33559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Álvares Machado,0,0,0,0,0,0,4,0,8,8,0,0,0,0,0,0,0,0,45200,23000,0,0,0,0,0,Wood
Óbidos,0,0,0,0,344737,0,353686,858394,587589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Altamira,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cocoa
Altinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,Cocoa
Americana,6996,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cocoa
Ananindeua,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cocoa
Andradina,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,Cocoa
Anápolis,0,0,0,0,0,0,0,0,439,762,441,865,3780,165,0,0,0,0,0,0,0,0,0,0,0,Cocoa
