Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Araçariguama,207,0,0,0,0,0,0,0,0,0,0,0,6,32315,208800,110615,930932,3045410,1968305,138930,34868,26040,0,0,82176,Wood
Araçatuba,336,0,210,733412,3546625,2974000,4486663,771783,0,0,15560,150,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Araçoiaba da Serra,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Araçuaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,210,0,0,Wood
Arcos,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Aripuanã,16919493,22639491,22257840,23256838,23641658,23258865,17130567,15920395,18483477,15964436,18182341,20750436,22837124,26925471,24722723,18174437,20423775,17527023,17018527,13966977,9077463,7155992,5273503,1444549,1499544,Wood
Ariquemes,6270538,7841728,6704399,6531756,8886802,12771150,13479673,15494143,9401602,7219659,6768038,10547004,12748715,13925296,22928901,20613636,36183105,36841963,20870097,11150144,9726929,7517377,6070765,5413400,7179305,Wood
Arujá,46657,0,15356,0,0,0,0,0,0,0,0,0,0,0,0,0,6184,0,73,40,185,0,0,16188,0,Wood
Assis,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15607,Wood
Atibaia,27157,23100,14000,107550,25401,67626,82,204,2136,10288,11138,0,4807,0,2,1147,459,4003,12500,0,0,0,396,612,1349,Wood
Aurora do Pará,0,0,0,969400,235800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Avaré,3969,7234,6236,5874,14680,0,0,0,0,0,0,0,0,0,0,0,0,0,49855,0,0,0,0,0,0,Wood
Aveiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53674,574012,Wood
Axixá do Tocantins,0,41128,321280,188048,680520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Açailândia,0,0,0,0,0,0,0,0,0,0,0,105270,0,1955660,1827133,539495,400077,307671,1396723,924030,96558,76850,492050,0,284279,Wood
Baependi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,Wood
Bagre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22100,0,0,Wood
Baião,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21159,0,0,0,714419,0,0,0,192297,802775,Wood
Barcarena,746531,717239,4767827,4185580,368052,105736,88900,272327,857130,1094250,1112448,50547,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Barra Bonita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Barra do Bugres,0,0,0,0,1776386,978694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Barra do Garças,0,0,0,0,0,0,0,0,0,0,0,0,3245,0,0,0,0,17746,0,0,0,0,0,0,0,Wood
Barretos,0,0,19870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628280,237600,261000,0,0,Wood
Barueri,293539,1377498,132302,318091,43610,148340,207288,136006,218044,163301,178383,38078,104050,154759,132086,58151,187442,166537,926301,1171552,1105730,1425125,1361831,429911,25955,Wood
Bataguassu,0,0,0,2634,536,943,3997,5290,3343,5770,2951,10266,5249,2384,6214,1370,254,0,0,0,0,0,0,0,0,Wood
Batatais,47,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,Wood
Bauru,394121,291220,66559,3514,3755,6252,14773,28872,37289,57693,63255,77699,81104,101012,69023,30563,25376,41443,195,11,0,0,0,42370,12,Wood
Bebedouro,0,26250,0,0,0,0,0,0,129870,0,0,0,0,0,0,0,234900,208800,75000,150000,0,0,0,0,0,Wood
